îNåéì˙,ïΩãœãCâ∑(Åé),ïiéøèÓïÒ,ãœéøî‘çÜ
2020/1/1,6.6,8,1
2020/1/2,7.1,8,1
2020/1/3,7.1,8,1
2020/1/4,8.1,8,1
2020/1/5,6.5,8,1
2020/1/6,8.0,8,1
2020/1/7,6.6,8,1
2020/1/8,5.7,8,1
2020/1/9,11.2,8,1
2020/1/10,9.0,8,1
2020/1/11,8.0,8,1
2020/1/12,7.7,8,1
2020/1/13,9.1,8,1
2020/1/14,9.1,8,1
2020/1/15,7.8,8,1
2020/1/16,7.6,8,1
2020/1/17,7.6,8,1
2020/1/18,3.8,8,1
2020/1/19,7.3,8,1
2020/1/20,8.3,8,1
2020/1/21,7.7,8,1
2020/1/22,5.8,8,1
2020/1/23,6.4,8,1
2020/1/24,10.5,8,1
2020/1/25,8.4,8,1
2020/1/26,5.6,8,1
2020/1/27,5.5,8,1
2020/1/28,4.7,8,1
2020/1/29,12.8,8,1
2020/1/30,12.6,8,1
2020/1/31,8.9,8,1
2020/2/1,8.5,8,1
2020/2/2,8.9,8,1
2020/2/3,9.9,8,1
2020/2/4,8.8,8,1
2020/2/5,8.4,8,1
2020/2/6,3.3,8,1
2020/2/7,3.3,8,1
2020/2/8,6.9,8,1
2020/2/9,4.3,8,1
2020/2/10,5.2,8,1
2020/2/11,7.2,8,1
2020/2/12,10.0,8,1
2020/2/13,13.0,8,1
2020/2/14,12.2,8,1
2020/2/15,12.5,8,1
2020/2/16,9.6,8,1
2020/2/17,11.8,8,1
2020/2/18,8.4,8,1
2020/2/19,8.3,8,1
2020/2/20,9.3,8,1
2020/2/21,10.7,8,1
2020/2/22,13.2,8,1
2020/2/23,11.1,8,1
2020/2/24,10.2,8,1
2020/2/25,10.7,8,1
2020/2/26,8.5,8,1
2020/2/27,7.6,8,1
2020/2/28,7.2,8,1
2020/2/29,9.5,8,1
2020/3/1,12.3,8,1
2020/3/2,7.9,8,1
2020/3/3,11.4,8,1
2020/3/4,9.7,8,1
2020/3/5,9.6,8,1
2020/3/6,9.7,8,1
2020/3/7,7.7,8,1
2020/3/8,7.4,8,1
2020/3/9,13.3,8,1
2020/3/10,14.9,8,1
2020/3/11,16.2,8,1
2020/3/12,11.4,8,1
2020/3/13,13.1,8,1
2020/3/14,6.2,8,1
2020/3/15,7.6,8,1
2020/3/16,7.8,8,1
2020/3/17,8.3,8,1
2020/3/18,12.6,8,1
2020/3/19,14.9,8,1
2020/3/20,15.7,8,1
2020/3/21,14.5,8,1
2020/3/22,17.2,8,1
2020/3/23,10.5,8,1
2020/3/24,8.9,8,1
2020/3/25,9.8,8,1
2020/3/26,13.4,8,1
2020/3/27,15.9,8,1
2020/3/28,16.4,8,1
2020/3/29,4.1,8,1
2020/3/30,7.6,8,1
2020/3/31,10.3,8,1
2020/4/1,11.3,8,1
2020/4/2,14.3,8,1
2020/4/3,13.3,8,1
2020/4/4,16.0,8,1
2020/4/5,11.6,8,1
2020/4/6,12.5,8,1
2020/4/7,12.6,8,1
2020/4/8,14.9,8,1
2020/4/9,14.2,8,1
2020/4/10,11.6,8,1
2020/4/11,11.9,8,1
2020/4/12,11.1,8,1
2020/4/13,8.1,8,1
2020/4/14,11.6,8,1
2020/4/15,14.1,8,1
2020/4/16,12.5,8,1
2020/4/17,12.5,8,1
2020/4/18,14.2,8,1
2020/4/19,15.4,8,1
2020/4/20,10.1,8,1
2020/4/21,15.2,8,1
2020/4/22,13.8,8,1
2020/4/23,12.2,8,1
2020/4/24,13.0,8,1
2020/4/25,13.4,8,1
2020/4/26,18.6,8,1
2020/4/27,13.6,8,1
2020/4/28,14.0,8,1
2020/4/29,16.1,8,1
2020/4/30,18.1,8,1
2020/5/1,19.9,8,1
2020/5/2,21.1,8,1
2020/5/3,20.6,8,1
2020/5/4,18.6,8,1
2020/5/5,21.0,8,1
2020/5/6,16.6,8,1
2020/5/7,17.0,8,1
2020/5/8,16.6,8,1
2020/5/9,18.4,8,1
2020/5/10,20.8,8,1
2020/5/11,23.2,8,1
2020/5/12,21.6,8,1
2020/5/13,22.7,8,1
2020/5/14,20.7,8,1
2020/5/15,21.3,8,1
2020/5/16,18.1,8,1
2020/5/17,21.3,8,1
2020/5/18,19.5,8,1
2020/5/19,18.1,8,1
2020/5/20,13.9,8,1
2020/5/21,13.1,8,1
2020/5/22,15.8,8,1
2020/5/23,18.5,8,1
2020/5/24,20.9,8,1
2020/5/25,21.5,8,1
2020/5/26,21.4,8,1
2020/5/27,22.4,8,1
2020/5/28,21.4,8,1
2020/5/29,21.1,8,1
2020/5/30,22.2,8,1
2020/5/31,21.4,8,1
2020/6/1,19.5,8,1
2020/6/2,22.6,8,1
2020/6/3,23.9,8,1
2020/6/4,23.7,8,1
2020/6/5,24.8,8,1
2020/6/6,24.4,8,1
2020/6/7,22.6,8,1
2020/6/8,23.3,8,1
2020/6/9,25.1,8,1
2020/6/10,25.1,8,1
2020/6/11,24.6,8,1
2020/6/12,25.6,8,1
2020/6/13,22.4,8,1
2020/6/14,22.4,8,1
2020/6/15,26.5,8,1
2020/6/16,25.4,8,1
2020/6/17,24.1,8,1
2020/6/18,22.1,8,1
2020/6/19,18.8,8,1
2020/6/20,23.1,8,1
2020/6/21,22.2,8,1
2020/6/22,19.8,8,1
2020/6/23,22.9,8,1
2020/6/24,22.5,8,1
2020/6/25,20.6,8,1
2020/6/26,25.6,8,1
2020/6/27,25.7,8,1
2020/6/28,22.5,8,1
2020/6/29,24.5,8,1
2020/6/30,24.8,8,1
2020/7/1,24.7,8,1
2020/7/2,25.5,8,1
2020/7/3,23.7,8,1
2020/7/4,24.4,8,1
2020/7/5,25.3,8,1
2020/7/6,24.9,8,1
2020/7/7,26.4,8,1
2020/7/8,25.2,8,1
2020/7/9,24.1,8,1
2020/7/10,25.3,8,1
2020/7/11,26.7,8,1
2020/7/12,26.4,8,1
2020/7/13,21.2,8,1
2020/7/14,23.3,8,1
2020/7/15,21.1,8,1
2020/7/16,21.1,8,1
2020/7/17,19.8,8,1
2020/7/18,21.2,8,1
2020/7/19,24.6,8,1
2020/7/20,26.6,8,1
2020/7/21,25.7,8,1
2020/7/22,26.3,8,1
2020/7/23,23.9,8,1
2020/7/24,25.1,8,1
2020/7/25,25.4,8,1
2020/7/26,25.9,8,1
2020/7/27,26.8,8,1
2020/7/28,26.4,8,1
2020/7/29,23.1,8,1
2020/7/30,22.8,8,1
2020/7/31,24.9,8,1
2020/8/1,25.9,8,1
2020/8/2,26.5,8,1
2020/8/3,27.0,8,1
2020/8/4,28.1,8,1
2020/8/5,28.5,8,1
2020/8/6,28.4,8,1
2020/8/7,29.4,8,1
2020/8/8,29.1,8,1
2020/8/9,29.4,8,1
2020/8/10,30.4,8,1
2020/8/11,30.6,8,1
2020/8/12,30.7,8,1
2020/8/13,30.8,8,1
2020/8/14,30.2,8,1
2020/8/15,30.8,8,1
2020/8/16,30.7,8,1
2020/8/17,30.5,8,1
2020/8/18,30.0,8,1
2020/8/19,28.9,8,1
2020/8/20,29.2,8,1
2020/8/21,29.8,8,1
2020/8/22,29.2,8,1
2020/8/23,25.6,8,1
2020/8/24,27.8,8,1
2020/8/25,27.8,8,1
2020/8/26,28.7,8,1
2020/8/27,29.7,8,1
2020/8/28,29.7,8,1
2020/8/29,30.0,8,1
2020/8/30,29.8,8,1
2020/8/31,27.9,8,1
2020/9/1,25.3,8,1
2020/9/2,27.4,8,1
2020/9/3,28.2,8,1
2020/9/4,29.5,8,1
2020/9/5,28.7,8,1
2020/9/6,26.9,8,1
2020/9/7,27.6,8,1
2020/9/8,29.0,8,1
2020/9/9,28.8,8,1
2020/9/10,27.4,8,1
2020/9/11,28.3,8,1
2020/9/12,24.3,8,1
2020/9/13,24.1,8,1
2020/9/14,23.6,8,1
2020/9/15,24.7,8,1
2020/9/16,24.4,8,1
2020/9/17,25.9,8,1
2020/9/18,28.5,8,1
2020/9/19,26.0,8,1
2020/9/20,22.7,8,1
2020/9/21,22.3,8,1
2020/9/22,22.5,8,1
2020/9/23,20.2,8,1
2020/9/24,19.3,8,1
2020/9/25,19.9,8,1
2020/9/26,18.9,8,1
2020/9/27,20.0,8,1
2020/9/28,21.8,8,1
2020/9/29,20.4,8,1
2020/9/30,20.2,8,1
2020/10/1,19.8,8,1
2020/10/2,21.3,8,1
2020/10/3,22.5,8,1
2020/10/4,22.7,8,1
2020/10/5,22.7,8,1
2020/10/6,21.4,8,1
2020/10/7,19.0,8,1
2020/10/8,15.0,8,1
2020/10/9,14.8,8,1
2020/10/10,16.1,8,1
2020/10/11,20.2,8,1
2020/10/12,21.5,8,1
2020/10/13,22.3,8,1
2020/10/14,20.7,8,1
2020/10/15,17.0,8,1
2020/10/16,16.5,8,1
2020/10/17,12.9,8,1
2020/10/18,15.1,8,1
2020/10/19,13.5,8,1
2020/10/20,16.0,8,1
2020/10/21,16.7,8,1
2020/10/22,18.0,8,1
2020/10/23,17.3,8,1
2020/10/24,17.9,8,1
2020/10/25,16.0,8,1
2020/10/26,16.9,8,1
2020/10/27,17.0,8,1
2020/10/28,17.0,8,1
2020/10/29,17.6,8,1
2020/10/30,15.4,8,1
2020/10/31,14.6,8,1
2020/11/1,14.8,8,1
2020/11/2,17.0,8,1
2020/11/3,15.7,8,1
2020/11/4,14.3,8,1
2020/11/5,14.4,8,1
2020/11/6,13.7,8,1
2020/11/7,17.0,8,1
2020/11/8,18.0,8,1
2020/11/9,14.0,8,1
2020/11/10,12.9,8,1
2020/11/11,12.7,8,1
2020/11/12,10.7,8,1
2020/11/13,14.3,8,1
2020/11/14,15.1,8,1
2020/11/15,14.5,8,1
2020/11/16,15.9,8,1
2020/11/17,16.5,8,1
2020/11/18,16.6,8,1
2020/11/19,19.8,8,1
2020/11/20,21.9,8,1
2020/11/21,17.4,8,1
2020/11/22,15.9,8,1
2020/11/23,16.6,8,1
2020/11/24,12.4,8,1
2020/11/25,11.0,8,1
2020/11/26,13.4,8,1
2020/11/27,12.2,8,1
2020/11/28,12.2,8,1
2020/11/29,10.6,8,1
2020/11/30,10.7,8,1
2020/12/1,11.0,8,1
2020/12/2,8.5,8,1
2020/12/3,8.7,8,1
2020/12/4,10.2,8,1
2020/12/5,7.2,8,1
2020/12/6,9.2,8,1
2020/12/7,10.6,8,1
2020/12/8,12.1,8,1
2020/12/9,10.4,8,1
2020/12/10,10.0,8,1
2020/12/11,10.6,8,1
2020/12/12,11.4,8,1
2020/12/13,11.2,8,1
2020/12/14,10.2,8,1
2020/12/15,7.1,8,1
2020/12/16,6.3,8,1
2020/12/17,5.2,8,1
2020/12/18,7.0,8,1
2020/12/19,6.4,8,1
2020/12/20,5.0,8,1
2020/12/21,6.4,8,1
2020/12/22,6.7,8,1
2020/12/23,8.7,8,1
2020/12/24,11.7,8,1
2020/12/25,9.5,8,1
2020/12/26,7.6,8,1
2020/12/27,8.4,8,1
2020/12/28,9.1,8,1
2020/12/29,10.3,8,1
2020/12/30,10.5,8,1
2020/12/31,4.3,8,1
